,iteration,median_filter_window_quiver,category_count_score,f1_per_timestamp,f1_per_annotation,f1_per_prediction
0,0,1,0.12479738570559762,0.3771114380404237,0.5525081178868406,0.2506467169882641
1,0,3,0.1298972699908394,0.3771826263938591,0.5537407310610608,0.2514532185111014
2,0,5,0.13200745154371346,0.3773021270209026,0.5533064133244705,0.2502180700293693
3,0,7,0.13349881620235812,0.3774679541472831,0.5542890553186041,0.24969130373941492
4,0,9,0.13416830454395545,0.3775050872515605,0.5540651550697183,0.24982948869775387
5,0,11,0.13491206180768323,0.3776639466078814,0.5540651550697183,0.24963103628189223
6,0,13,0.1352606889188943,0.37776293444662323,0.5540651550697183,0.24992860237201012
7,0,15,0.13549997686362483,0.3778940137082075,0.5542892481171473,0.24960954111936878
8,0,17,0.1356833674643075,0.3779992673324945,0.5540288162088265,0.24918914418363808
9,0,19,0.1356393898773181,0.3780493974701222,0.5544202309135958,0.2489126244662385
10,0,21,0.1356247258172545,0.37808917387017,0.5544202309135958,0.24823039602062358
11,0,23,0.1359608825385523,0.3781764189863667,0.5543465094029177,0.24816529139342602
12,0,25,0.13618592523798656,0.37824701926974674,0.553335148286859,0.24909114188144352
13,0,27,0.13658800782361977,0.37832464124612475,0.5523520190169525,0.2494995862591816
14,0,29,0.13673204162419222,0.3784376140226656,0.5526663100323258,0.2494804373926265
15,0,31,0.13686614664766159,0.37844128170376895,0.5528163014296289,0.24927215067407446
16,0,33,0.13676738248034903,0.37836548991691543,0.5532087470137347,0.24996043881498622
17,0,35,0.1366899844351758,0.3784261633995297,0.5542990376949739,0.24998930939746375
18,0,37,0.13652632042212595,0.378472801957752,0.5542990376949739,0.24993175531362957
19,0,39,0.1368066380540082,0.3785963984840209,0.5545663227315945,0.2497749004963403
20,0,41,0.13675231650717237,0.37866971446078346,0.5545663227315945,0.25031669034738463
21,0,43,0.13674363580966226,0.3787910202533939,0.5545663227315945,0.2500508029168402
22,0,45,0.13689467531655936,0.378930588621015,0.5545663227315945,0.2497796126722481
23,0,47,0.13685091411884706,0.3790480021292691,0.5549088226122454,0.2501217437912742
24,0,49,0.13718962662022943,0.3792839452022737,0.5549088226122454,0.24966704996504285
25,0,51,0.1373458720311181,0.37941948170499523,0.5557332765278161,0.24969374992357288
26,0,53,0.13734394069662198,0.3796015697934655,0.5547929456212284,0.25020304397510473
27,0,55,0.13748413792797637,0.37974883140589044,0.5544602248442881,0.2503000061562866
28,0,57,0.13760056370921644,0.379807346665176,0.5544602248442881,0.2504774561968225
29,0,59,0.13793635155291836,0.3798949441069032,0.5544602248442881,0.25027340696221767
30,0,61,0.13819397829485158,0.38003411834751066,0.5544602248442881,0.2502705327861482
